时间,价格(usd),成交额,市值
"2022-02-10 00:00","1.0016316686","9104882.1388959996","9678254660.4708175659",
"2022-02-09 00:00","1.0024204776","10561948.5278129056","9685876518.8709526062",
"2022-02-08 00:00","1.0042353047","12476964.0244708993","9703412265.5276985168",
"2022-02-07 00:00","1.0018958361","7691812.0882798480","9680807176.4203567505",
"2022-02-06 00:00","1.0020936880","6182356.3228915678","9682718917.6892948151",
"2022-02-05 00:00","1.0058664800","9275974.4781247322","9719173478.1135940552",
"2022-02-04 00:00","1.0017327330","8763586.2382422034","9679231194.5354919434",
"2022-02-03 00:00","1.0024549603","8865169.0788926482","9686209707.8666133881",
"2022-02-02 00:00","1.0021231710","7483730.9335662378","9683003796.9737262726",
"2022-02-01 00:00","1.0019309771","7746961.5358703760","9681146725.8748531342",
"2022-01-31 00:00","1.0017092605","7820094.3273934647","9679004391.0998363495",
"2022-01-30 00:00","1.0010355183","9105948.9387545716","9672494364.7277641296",
"2022-01-29 00:00","1.0014761861","8212147.1880947789","9676752312.4315452576",
"2022-01-28 00:00","1.0050006890","9010015.5115373880","9710807782.5851898193",
"2022-01-27 00:00","1.0028488041","10198011.1484648436","9690015218.8403911591",
"2022-01-26 00:00","1.0016544419","9806947.9465538133","9678474707.1627807617",
"2022-01-25 00:00","1.0023337007","11133177.1110107824","9685038037.7150478363",
"2022-01-24 00:00","1.0033844804","15584797.5618875418","9695191184.9244194031",
"2022-01-23 00:00","1.0008625435","15126039.2711519431","9670822998.2186031342",
"2022-01-22 00:00","1.0032128248","24344622.2066509835","9693532564.7820529938",
"2022-01-21 00:00","1.0032327851","15070640.9594633449","9693725430.3636665344",
"2022-01-20 00:00","1.0006041137","7778788.1708154744","9668325923.0610027313",
"2022-01-19 00:00","1.0002256172","7876170.3405231368","9664668704.4822864532",
"2022-01-18 00:00","1.0016509615","8747209.5754399654","9678441077.8786201477",
"2022-01-17 00:00","1.0015946985","8582189.7121326495","9496267014.1604671478",
"2022-01-16 00:00","1.0004310081","7577001.5922250822","9485233893.6786308289",
"2022-01-15 00:00","0.9997200945","8055512.3659257749","9478493617.1016483307",
"2022-01-14 00:00","1.0010444487","9986594.6162886024","9296883694.6823978424",
"2022-01-13 00:00","1.0008290106","10495769.7053761035","9294882881.2704296112",
"2022-01-12 00:00","1.0007021906","11949237.9633352123","9293705080.8298702240",
"2022-01-11 00:00","1.0017934871","14489321.5692558289","9303840152.5516719818",
"2022-01-10 00:00","1.0010271454","15888144.7849592641","9296722996.3466987610",
"2022-01-09 00:00","1.0016259720","12102080.9344569165","6367168256.6277494431",
